Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
VGM	VGMopen14	VGM14	open	42	43	0,552864192	0,719470018	32	0,534519855	1,004870447	3,461040291	25
VGM	VGMclosed15	VGM15	closed	42	43	0,60345991	0,761530193	34	0,642343264	1,922874119	6,550923329	23
VGM	VGMopen15	VGM15	open	42	43	0,617645504	0,857719542	17	0,657365571	0,997804993	3,542680089	23
VGM	VGMclosed4	VGM4	closed	42	43	0,519557792	0,588142186	99	0,477789774	2,671851886	9,28993671	0
VGM	VGMopen4	VGM4	open	42	43	0,669675906	0,890619259	61	0,526356203	0,885493916	3,114608243	0
VGM	VGMclosed5	VGM5	closed	42	43	0,603187035	0,626235597	104	0,495817645	1,414310381	5,10557855	8
VGM	VGMopen5	VGM5	open	42	43	0,587496529	0,82884716	35	0,757369476	2,393286117	9,94902956	8
VGM	VGMclosed6	VGM6	closed	42	43	0,541821221	0,701599888	48	0,746145088	2,749837475	12,76622038	7
VGM	VGMopen6	VGM6	open	42	43	0,554500792	0,547834412	73	0,528211111	1,934181628	7,196675723	7
VGM	VGMclosed7	VGM7	closed	42	43	0,540841164	0,672219504	58	0,505963352	2,967802838	9,887025943	0
VGM	VGMopen7	VGM7	open	42	43	0,524963121	0,567247648	37	0,656423474	1,098847583	3,873590259	0
VGM	VGMclosed8	VGM8	closed	42	43	0,534334373	0,661130924	44	0,775865914	2,77570399	11,47946914	4
VGM	VGMopen8	VGM8	open	42	43	0,473627987	0,530198587	45	0,602151689	1,539745178	5,925189392	4
VGM	VGMclosed9	VGM9	closed	42	43	0,483995735	0,628511107	117	0,662759809	1,961554088	7,665586578	17
VGM	VGMopen9	VGM9	open	42	43	0,481932192	0,620383105	33	0,604198545	1,524393946	5,106562094	17
VGM	VGMclosed1	VGM1	closed	48	50	0,685757627	0,882142466	14	0,784431715	1,081096936	3,719842244	9
VGM	VGMopen1	VGM1	open	48	50	0,608931127	0,80570799	10	0,72618352	0,825167336	2,824480462	9
VGM	VGMclosed10	VGM10	closed	48	50	0,490783771	0,657797631	43	0,630624085	2,709625517	10,90039644	5
VGM	VGMopen10	VGM10	open	48	50	0,531909023	0,58076662	24	0,58238867	0,935109717	3,262622985	5
VGM	VGMclosed11	VGM11	closed	48	50	0,443284036	0,54082478	66	0,536509016	1,840377274	6,305631019	7
VGM	VGMopen11	VGM11	open	48	50	0,605320874	0,738969352	52	0,50317012	1,023125122	3,456994147	7
VGM	VGMclosed12	VGM12	closed	48	50	0,611346801	0,826843212	40	0,624015814	2,152359936	7,710152659	26
VGM	VGMopen12	VGM12	open	48	50	0,593935115	0,795472336	41	0,633702149	1,599127038	6,069405139	26
VGM	VGMclosed14	VGM14	closed	48	50	0,704196778	0,976785764	35	0,628979456	1,271267268	4,886592458	25
VGM	VGMopen14	VGM14	open	48	50	0,595188843	0,784896417	25	0,621492373	1,17130359	4,228638775	25
VGM	VGMclosed15	VGM15	closed	48	50	0,61353291	0,762699866	34	0,649057316	1,842194977	6,296954866	23
VGM	VGMopen15	VGM15	open	48	50	0,724309335	1,009719235	12	0,865616348	0,960128541	3,680679096	23
VGM	VGMclosed4	VGM4	closed	48	50	0,527574975	0,588073776	100	0,474848156	2,576531397	8,833857694	0
VGM	VGMopen4	VGM4	open	48	50	0,644387578	0,830529906	66	0,477363583	0,84582591	2,837680839	0
VGM	VGMclosed5	VGM5	closed	48	50	0,601445385	0,660670027	100	0,542033465	1,599188213	6,219587022	8
VGM	VGMopen5	VGM5	open	48	50	0,614671223	0,850194103	35	0,757369476	2,393286117	9,94902956	8
VGM	VGMclosed6	VGM6	closed	48	50	0,543234345	0,707483762	48	0,760929932	2,909497776	13,33555801	7
VGM	VGMopen6	VGM6	open	48	50	0,581021234	0,582399434	79	0,49391549	1,896138071	6,607504173	7
VGM	VGMclosed7	VGM7	closed	48	50	0,548703185	0,676264928	53	0,527893034	2,963692787	10,03659694	0
VGM	VGMopen7	VGM7	open	48	50	0,465476696	0,508821697	33	0,685346613	1,26902637	4,460516626	0
VGM	VGMclosed8	VGM8	closed	48	50	0,546929618	0,678699008	41	0,796392982	2,909476781	11,84808993	4
VGM	VGMopen8	VGM8	open	48	50	0,512823024	0,57582816	43	0,602151689	1,539745178	5,925189392	4
VGM	VGMclosed9	VGM9	closed	48	50	0,49758044	0,642222068	113	0,68265582	1,883810458	7,618563167	17
VGM	VGMopen9	VGM9	open	48	50	0,526097001	0,682170735	29	0,68370559	1,39513765	5,164814773	17
VGM	VGMclosed1	VGM1	closed	54	57	0,646332958	0,730407358	15	0,784431715	1,081096936	3,719842244	9
VGM	VGMopen1	VGM1	open	54	57	0,634477986	0,837487688	9	0,72618352	0,825167336	2,824480462	9
VGM	VGMclosed10	VGM10	closed	54	57	0,499965273	0,646826104	42	0,617818954	2,61872475	10,20251656	5
VGM	VGMopen10	VGM10	open	54	57	0,531754873	0,589710439	24	0,58238867	0,935109717	3,262622985	5
VGM	VGMclosed11	VGM11	closed	54	57	0,465486716	0,559841423	62	0,533247559	1,592133418	5,337872728	7
VGM	VGMopen11	VGM11	open	54	57	0,620185241	0,75937811	48	0,460830926	0,832680197	2,738561714	7
VGM	VGMclosed12	VGM12	closed	54	57	0,607726993	0,838572137	40	0,624015814	2,152359936	7,710152659	26
VGM	VGMopen12	VGM12	open	54	57	0,602112974	0,816735446	42	0,606560215	1,549216601	5,619039501	26
VGM	VGMclosed14	VGM14	closed	54	57	0,69613282	0,972084392	36	0,654541509	1,336658201	5,288019019	25
VGM	VGMopen14	VGM14	open	54	57	0,571101733	0,740257617	27	0,522368749	0,859918681	2,93470619	25
VGM	VGMclosed15	VGM15	closed	54	57	0,62089409	0,789090912	38	0,594304567	1,529301063	4,833537977	23
VGM	VGMopen15	VGM15	open	54	57	0,721044616	0,998967685	12	0,865616348	0,960128541	3,680679096	23
VGM	VGMclosed4	VGM4	closed	54	57	0,530494731	0,587669909	97	0,478651373	2,610802229	8,950342898	0
VGM	VGMopen4	VGM4	open	54	57	0,641303735	0,828828505	69	0,477363583	0,84582591	2,837680839	0
VGM	VGMclosed5	VGM5	closed	54	57	0,596499013	0,674368771	87	0,582708284	1,826129993	7,560868182	8
VGM	VGMopen5	VGM5	open	54	57	0,604093251	0,836251149	34	0,757369476	2,393286117	9,94902956	8
VGM	VGMclosed6	VGM6	closed	54	57	0,522525476	0,691194598	51	0,752025113	2,861639605	12,94545484	7
VGM	VGMopen6	VGM6	open	54	57	0,567414788	0,589040522	79	0,49946504	1,944200165	6,798187464	7
VGM	VGMclosed7	VGM7	closed	54	57	0,55833696	0,70961515	55	0,554722483	2,881812947	10,05965971	0
VGM	VGMopen7	VGM7	open	54	57	0,477371503	0,492143938	36	0,64744025	1,300742669	4,260921391	0
VGM	VGMclosed8	VGM8	closed	54	57	0,56152081	0,691872387	43	0,815014519	2,813278885	11,75348924	4
VGM	VGMopen8	VGM8	open	54	57	0,508371772	0,569916315	49	0,602063346	1,578341215	6,170923765	4
VGM	VGMclosed9	VGM9	closed	54	57	0,523216024	0,662810818	108	0,721639574	1,887837033	7,965018864	17
VGM	VGMopen9	VGM9	open	54	57	0,555507908	0,698708282	29	0,680371468	1,360485304	4,913863651	17
