Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	eucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITAopen15	ITA15	open	54	57	0,534995758	5,625542793	23	0,552399519	0,875906314	3,019100588	8
ITA	ITAclosed2	ITA2	closed	54	57	0,627563998	14,54482098	36	0,551949602	1,350868413	4,767508907	11
ITA	ITAopen2	ITA2	open	54	57	0,526788313	4,97960538	37	0,603442038	1,685524422	5,58603407	11
ITA	ITAclosed4	ITA4	closed	54	57	0,512546503	18,09436566	55	0,458112595	1,065455944	3,557926643	6
ITA	ITAopen4	ITA4	open	54	57	0,62797094	6,576997978	20	0,642617555	1,675352386	5,706817506	6
ITA	ITAclosed6	ITA6	closed	54	57	0,526132232	7,62160082	48	0,511014317	1,523991925	5,035409987	14
ITA	ITAopen6	ITA6	open	54	57	0,540554905	10,24751594	35	0,414926793	1,269733407	3,630740467	14
ITA	ITAclosed8	ITA8	closed	54	57	0,454543372	3,513010814	27	0,456510609	0,792815622	2,539081765	12
ITA	ITAopen8	ITA8	open	54	57	0,603909434	5,757930511	31	0,619404432	1,76557127	5,80630381	12
ITA	ITAclosed1	ITA1	closed	60	61	0,478720053	7,029667645	34	0,59563231	2,056108084	7,061652382	20
ITA	ITAopen1	ITA1	open	60	61	0,461996109	2,685348576	28	0,698654229	1,43546913	5,691937043	20
ITA	ITAclosed10	ITA10	closed	60	61	0,449281735	6,833743276	28	0,380467425	0,641711622	2,133675175	5
ITA	ITAopen10	ITA10	open	60	61	0,607046556	4,393494706	7	0,816023395	0,691168686	2,700418534	5
ITA	ITAclosed12	ITA12	closed	60	61	0,676508426	9,9231865	9	0,755976311	0,843149336	3,179021609	21
ITA	ITAopen12	ITA12	open	60	61	0,643257007	5,354063082	9	0,683570533	0,599262712	2,311619388	21
ITA	ITAclosed14	ITA14	closed	60	61	0,764532689	92,03920398	112	0,094029748	0,104684844	1,116100195	5
ITA	ITAopen14	ITA14	open	60	61	0,690757283	34,58033184	48	0,208877135	0,269558775	1,349472555	5
ITA	ITAclosed15	ITA15	closed	60	61	0,518705952	23,7910114	65	0,379967693	1,15948548	3,557774233	8
ITA	ITAopen15	ITA15	open	60	61	0,515456934	4,015624676	22	0,58238867	0,935109717	3,262622985	8
ITA	ITAclosed2	ITA2	closed	60	61	0,573175738	13,99434124	40	0,503594106	1,609219446	5,295255146	11
ITA	ITAopen2	ITA2	open	60	61	0,523118565	7,977472289	42	0,530970657	1,174418246	3,961412995	11
ITA	ITAclosed4	ITA4	closed	60	61	0,49406894	20,04231676	61	0,433415078	0,971738076	3,190766956	6
ITA	ITAopen4	ITA4	open	60	61	0,689113054	26,96448668	43	0,379049102	0,701096685	2,299524229	6
ITA	ITAclosed6	ITA6	closed	60	61	0,534958052	7,454738836	53	0,507126388	1,70457199	5,645758361	14
ITA	ITAopen6	ITA6	open	60	61	0,525876231	9,358473228	31	0,412549487	1,286787635	3,657107641	14
ITA	ITAclosed8	ITA8	closed	60	61	0,445636563	4,064992346	29	0,44118293	0,748357049	2,421776796	12
ITA	ITAopen8	ITA8	open	60	61	0,602285434	5,833469067	31	0,619404432	1,76557127	5,80630381	12
ITA	ITAclosed1	ITA1	closed	66	69	0,436666903	5,795915161	44	0,56076246	1,964214155	6,664886433	20
ITA	ITAopen1	ITA1	open	66	69	0,453553747	3,94469728	29	0,667938382	1,347176473	5,211318701	20
ITA	ITAclosed10	ITA10	closed	66	69	0,43409685	5,669516959	28	0,403570244	0,698636773	2,286300518	5
ITA	ITAopen10	ITA10	open	66	69	0,432026883	1,85367035	5	0,446134916	0,276077149	1,424155622	5
ITA	ITAclosed12	ITA12	closed	66	69	0,683642901	9,455350912	11	0,755976311	0,843149336	3,179021609	21
ITA	ITAopen12	ITA12	open	66	69	0,521296775	2,849689248	11	0,6600139	0,754552201	2,644135772	21
ITA	ITAclosed14	ITA14	closed	66	69	0,755236025	42,79728415	61	0,183509743	0,210648623	1,260791358	5
ITA	ITAopen14	ITA14	open	66	69	0,723035222	17,17187195	28	0,315794231	0,401046315	1,599507708	5
ITA	ITAclosed15	ITA15	closed	66	69	0,535706038	22,44363156	63	0,387586353	1,20268782	3,703744469	8
ITA	ITAopen15	ITA15	open	66	69	0,449810614	1,995169411	15	0,457102373	0,417219483	1,698552457	8
ITA	ITAclosed2	ITA2	closed	66	69	0,550410133	12,49877441	39	0,489750193	1,600085679	5,071378277	11
ITA	ITAopen2	ITA2	open	66	69	0,527059502	6,765593611	42	0,559043758	1,291020394	4,402281034	11
ITA	ITAclosed4	ITA4	closed	66	69	0,462573188	13,86807316	42	0,378706685	0,66890518	2,216696482	6
ITA	ITAopen4	ITA4	open	66	69	0,743596527	26,0969629	37	0,312391198	0,485837522	1,759460168	6
ITA	ITAclosed6	ITA6	closed	66	69	0,548561262	8,563920076	54	0,499377133	1,902865696	6,119638502	14
ITA	ITAopen6	ITA6	open	66	69	0,520545646	6,760496755	30	0,468858754	1,357024408	3,927131522	14
ITA	ITAclosed8	ITA8	closed	66	69	0,416946347	3,766919839	27	0,44118293	0,748357049	2,421776796	12
ITA	ITAopen8	ITA8	open	66	69	0,549712306	3,627104199	24	0,724981151	1,557305273	5,608649845	12
ITA	ITAclosed1	ITA1	closed	72	74	0,36308226	4,494202164	48	0,547758575	1,67880867	5,837666555	20
ITA	ITAopen1	ITA1	open	72	74	0,488387066	5,786819622	29	0,635844498	1,167977189	4,381697184	20
ITA	ITAclosed10	ITA10	closed	72	74	0,412023411	4,316685433	25	0,443785638	0,804541975	2,58702376	5
