Site	UniquePair	UnPlot	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITA10	ITAopen10	open	66	69	NA	NA	0	NA	NA	NA	5
ITA	ITA12	ITAclosed12	closed	66	69	0,615762126	0,875590042	3	0,755976311	0,843149336	3,179021609	21
ITA	ITA12	ITAopen12	open	66	69	NA	NA	0	NA	NA	NA	21
ITA	ITA14	ITAclosed14	closed	66	69	NA	NA	0	NA	NA	NA	5
ITA	ITA14	ITAopen14	open	66	69	NA	NA	0	NA	NA	NA	5
ITA	ITA15	ITAclosed15	closed	66	69	0,669313799	0,945705693	6	0,624260812	1,010425499	3,556878195	8
ITA	ITA15	ITAopen15	open	66	69	0,65210994	0,93225272	2	0,816023395	0,691168686	2,700418534	8
ITA	ITA2	ITAclosed2	closed	66	69	0,669313799	0,945705164	1	NA	NA	NA	11
ITA	ITA2	ITAopen2	open	66	69	0,652019949	0,932251759	2	0,816023395	0,691168686	2,700418534	11
ITA	ITA4	ITAclosed4	closed	66	69	0,669315348	0,945698507	2	0,816023395	0,691168686	2,700418534	6
ITA	ITA4	ITAopen4	open	66	69	0,652192964	0,932270374	27	0,164740781	0,817303686	2,19005462	6
ITA	ITA6	ITAclosed6	closed	66	69	0,669314419	0,945707304	7	0,622742873	1,098572259	3,908605157	14
ITA	ITA6	ITAopen6	open	66	69	0,619557818	0,838195754	5	0,478524108	0,803784725	2,497216666	14
ITA	ITA8	ITAclosed8	closed	66	69	0,66931375	0,945702912	1	NA	NA	NA	12
ITA	ITA8	ITAopen8	open	66	69	0,619613477	0,83817923	6	0,58936851	1,038600945	3,454510647	12
ITA	ITA1	ITAclosed1	closed	72	74	0,615762137	0,875590027	2	0,816023395	0,691168686	2,700418534	20
ITA	ITA1	ITAopen1	open	72	74	0,661184747	0,945838476	3	0,755976311	0,843149336	3,179021609	20
ITA	ITA10	ITAclosed10	closed	72	74	0,669313845	0,945703417	1	NA	NA	NA	5
ITA	ITA10	ITAopen10	open	72	74	NA	NA	0	NA	NA	NA	5
ITA	ITA12	ITAclosed12	closed	72	74	0,615762137	0,875590028	3	0,755976311	0,843149336	3,179021609	21
ITA	ITA12	ITAopen12	open	72	74	NA	NA	0	NA	NA	NA	21
ITA	ITA14	ITAclosed14	closed	72	74	NA	NA	0	NA	NA	NA	5
ITA	ITA14	ITAopen14	open	72	74	NA	NA	0	NA	NA	NA	5
ITA	ITA15	ITAclosed15	closed	72	74	0,669314034	0,945703812	6	0,624260812	1,010425499	3,556878195	8
ITA	ITA15	ITAopen15	open	72	74	0,613910869	0,871278441	2	0,816023395	0,691168686	2,700418534	8
ITA	ITA2	ITAclosed2	closed	72	74	0,6693143	0,945703438	1	NA	NA	NA	11
ITA	ITA2	ITAopen2	open	72	74	0,661258234	0,94583837	2	0,816023395	0,691168686	2,700418534	11
ITA	ITA4	ITAclosed4	closed	72	74	0,669314593	0,945703368	1	NA	NA	NA	6
ITA	ITA4	ITAopen4	open	72	74	0,661202693	0,94583837	4	0,550978757	0,790633752	2,563169777	6
ITA	ITA6	ITAclosed6	closed	72	74	0,669313846	0,945703829	7	0,622742873	1,098572259	3,908605157	14
ITA	ITA6	ITAopen6	open	72	74	0,584329211	0,786155923	6	0,51204312	0,9457461	2,945363865	14
ITA	ITA8	ITAclosed8	closed	72	74	0,669314274	0,945703578	1	NA	NA	NA	12
ITA	ITA8	ITAopen8	open	72	74	0,63100402	0,858675234	6	0,58936851	1,038600945	3,454510647	12
